нулевая гипотеза ;Нулевая гипотеза ;Гипотеза, которую пытаются опровергнуть с помощью А/В теста. Заключается она в том, что уровень конверсии исходной страницы и тестируемой будет одинаковым - то есть вносимые изменения никак не повлияют на конверсию.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Hypothesis 
плати и уноси;Плати и уноси;Клеше– форма торговли, когда оптовый продавец, реализует свой товар розничным торговцам, продавцам, частным предпринимателям со скидкой. На условиях, что они его покупают оптом, платят наличными и вывозят самостоятельно. Например, «Метро», «Ашан».;http://infosystems.ru/library/slovar_ais_1218/slovar_marketin_1221.html;Cash and carry 
подарки самому себе;Подарки самому себе;Клеше– ситуация, когда потребитель приобретает продукты и услуги для себя самого в качестве награды или утешения. Часто это импульсивные покупки.;http://infosystems.ru/library/slovar_ais_1218/slovar_marketin_1221.html;Self-gifts  
поле;Поле;условное обозначение этапа проведения маркетингового исследования по сбору первичной информации: массовый опрос, наблюдение, регистрация фактов, событий или явлений.;http://infosystems.ru/library/slovar_ais_1218/slovar_marketin_1221.html;Field 
холодный прозвон;Холодный прозвон;метод реализации продукта или услуги, когда торговый представитель предлагает свой товар или услугу потенциальным потребителям путем посылки предложений по почте или звонков по телефону.;http://infosystems.ru/library/slovar_ais_1218/slovar_marketin_1221.html;Cold-calling 
черный ящик;Черный ящик;термин, используемый в маркетинге для описания состояния сознания и психики индивидуального покупателя как «непрозрачного». О внутреннем содержании этого состояния можно судить, подавая сигналы на вход «ящика» и наблюдая его реакцию на выходе из «ящика».;http://infosystems.ru/library/slovar_ais_1218/slovar_marketin_1221.html;Black box 
эффект бережливости;Эффект бережливости;явление, состоящее в том, что по мере увеличения дохода потребителей увеличивается их склонность к наращиванию сбережений с целью жить богаче, а это, в свою очередь, приводит к сокращению прироста потребления в структуре дохода.;http://infosystems.ru/library/slovar_ais_1218/slovar_marketin_1221.html;Frugality effect 
выше сгиба ;Выше сгиба ;Часть страницы, которая видна без прокрутки (первый экран). Здесь желательно отображать самую важную информацию - в первую очередь, ценностное предложение.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Above the fold 
ambient media;Ambient Media;нестандартные носители наружной рекламы, например: скамейки в парках, зеркала в туалетах, балконы жилых домов и т.д.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Ambient Media
якорный, анкорный текст ;Якорный, анкорный текст ;Это кликабельный текст гиперссылки. Важный нюанс – не сама ссылка на сайт, а именно текст, который видит пользователь. Эксперты по SEO рекомендуют, чтобы анкор по смыслу максимально перекликался со страницей, на которую ведет гиперссылка.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Anchor text 
average order value ;Average Order Value ;Средняя стоимость заказа или средний чек. Одна из ключевых характеристик эффективности интернет-магазина. Вычисляется путем деления общей суммы заказов на их количество.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;AOV 
отказ ;отказ ;Ситуация, когда посетитель заходит на одну из страниц сайта и выходит, не просмотрев хотя бы еще одну.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;B ounce 
бэклинк;бэклинк;Если сайт А содержит гиперссылку, которая ведет на сайт В, то для сайта В эта гиперссылка является обратной. Долгое время наращивание количества обратных ссылок было одним из главных способов повысить позиции сайта в поисковой выдаче. Особенно ценились ссылки с авторитетных сайтов, поскольку поисковые системы присваивали им больший «вес».;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Backlink, обратная ссылка 
баннерная слепота ;Баннерная слепота ;Явление, когда посетители сайта сознательно или подсознательно игнорируют баннерную рекламу или любые другие баннеры, как графический объект.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Banner blindness 
баннеры ;баннеры ;Прямоугольные области различных размеров, использующиеся для показа рекламных объявлений на сайте. Со временем сложились определенные стандарты размеров баннеров и их расположения на странице.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Banners 
исходные данные ;Исходные данные ;Базовый уровень конверсии сайта, который пытаются улучшить с помощью А/В тестов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Baseline 
поведенческий таргетинг ;Поведенческий таргетинг ;Рекламная стратегия, в рамках которой сайты демонстрируют своим посетителям объявления, непосредственно связанные с их интересами и предпочтениями. Необходимую информацию маркетологи получают путем отслеживания покупок и истории просмотров.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Behavioral targeting 
ниже сгиба ;Ниже сгиба ;Часть страницы, которую можно увидеть после прокрутки (то, что ниже первого экрана);https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Below the fold 
показатель отказов ;Показатель отказов ;Процент посетителей, которые просматривают лишь одну страницу сайта. Часто используется при оценке его эффективности. Высокий показатель отказов свидетельствует о недостаточной ценности контента.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Bounce rate 
иначе «хлебные крошки» ;иначе «хлебные крошки» ;Цепочка навигационных ссылок, которая показывает, где посетитель находится в данный момент и весь предыдущий путь.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Breadcrumb navigation 
канонические url ;канонические URL ;Стандартные ссылки, которым поисковые системы отдают предпочтение. Например: https://example.com/ или http://www.example.com/index.html;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Canonical URL 
брошенная корзина ;Брошенная корзина ;Ситуация, когда посетитель интернет-магазина инициировал процесс покупки, добавил товары в корзину, но не довел процесс до конца. Одна из главных проблем интернет-магазинов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Cart abandonment 
коэффициент оттока ;Коэффициент оттока ;Процент клиентов сервиса, которые прекратили пользоваться услугой в определенный промежуток времени. Высокий уровень оттока означает проблемы в качестве продукта или сервисе.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Churn rate 
звонок по клику ;Звонок по клику ;Кнопка на мобильной версии сайта или в мобильном приложении, позволяющая посетителям напрямую позвонить на указанный номер телефона.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Click to Call 
clickbait;Clickbait;Контент с эпатажным содержанием. В первую очередь – заголовки.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Clickbait
карта кликов ;карта кликов ;Карта сайта, которая показывает куда пользователи кликают на странице. С ее помощью можно отследить количество кликов для каждой ссылки, кнопки, элемента навигации и т.д. Присутствует в функционале Яндекс Метрики.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Clickmap 
clickstream;Clickstream;Список ссылок, которые пользователь нажал во время посещения. Используется для определения интересов и предпочтений целевой аудитории.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Clickstream
проходная страница ;проходная страница ;Страница с предварительной информацией. Основная цель - подготовить посетителей к конверсионному действию на следующей странице.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Clickthrough page 
ctr;CTR;Соотношение просмотров к количеству кликов (на объявление в контекстной рекламе, ссылку в письме или баннер).;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Clickthrough rate, CTR, рейтинг кликабельности
клоакинг ;Клоакинг ;Подмена контента, демонстрация поисковым роботам особого контента (оптимизированного специально под поисковик), в то время как реальные посетители сайта видят совсем другие материалы.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Cloaking 
система управления контентом;Система управления контентом;Программный продукт - позволяет добавлять и редактировать тексты и мультимедийный контент на сайте.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;CMS, Content Management System, Система управления контентом
co-marketing;Co-Marketing;несколько компаний (обычно две) объединяют свои усилия для создания нового уникального продукта, используя свои собственные наработки.;https://kaplunoff.com/blog/marketing-i-prodazhi/237-marketing-words;Co-Marketing
статистическая достоверность ;Статистическая достоверность ;Показывает, что A/B тестирование можно считать достоверным, поскольку получено достаточное количество трафика.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Confidence level 
доверительный интервал ;Доверительный интервал ;Интервал, в котором результаты А/В тестов признаются заслуживающими доверия (чаще всего 4-5 недель).;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Confidential interval 
контент маркетинг;Контент Маркетинг;Стратегия создания и распространения текстового и мультимедийного контента для привлечения и удержания клиентов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Content Marketing, Контент Маркетинг
контрольная страница ;Контрольная страница ;Исходная страница в ходе А/В тестов.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Control Page 
коэффициент конверсии;коэффициент конверсии;Процент посетителей страницы, совершивших конверсионное действие.;https://yagla.ru/blog/marketing/100-terminov-internetmarketinga-slovar-marketologa/;Conversion Rate, коэффициент конверсии
